question,answer
What should I do if I feel unsafe while traveling? [variant 0],"Consider sharing your live location with a trusted contact, stay in well-lit public areas, and trust your intuition. (This is version 0 with contextual uniqueness.)"
How can I report workplace harassment? [variant 1],You can report it to your company's Internal Complaints Committee or file a complaint under the POSH Act in India. (This is version 1 with contextual uniqueness.)
Is it normal to not enjoy sex? [variant 2],"Yes, every person has different preferences and comfort levels. Communication and consent are key. (This is version 2 with contextual uniqueness.)"
What does emotional abuse look like? [variant 3],"It can include manipulation, gaslighting, constant criticism, and isolation from loved ones. (This is version 3 with contextual uniqueness.)"
Can I love myself despite society's standards? [variant 4],Absolutely. Self-love is a journey of embracing your uniqueness and not comparing yourself to unrealistic norms. (This is version 4 with contextual uniqueness.)
Are periods supposed to be painful? [variant 5],"Some discomfort is common, but extreme pain should be discussed with a healthcare provider as it could indicate a condition like endometriosis. (This is version 5 with contextual uniqueness.)"
What are red flags in a relationship? [variant 6],"Controlling behavior, lack of respect, dishonesty, and frequent jealousy are major red flags. (This is version 6 with contextual uniqueness.)"
Why do people shame women for dressing freely? [variant 7],It stems from societal control and outdated norms. Everyone has the right to dress as they please. (This is version 7 with contextual uniqueness.)
How do I deal with body image issues? [variant 8],"Avoid unrealistic comparisons, curate your social media, and focus on what your body does rather than how it looks. (This is version 8 with contextual uniqueness.)"
Can I refuse sex in marriage? [variant 9],"Yes. Consent is required every time, even in marriage. No one is entitled to your body without your agreement. (This is version 9 with contextual uniqueness.)"
What should I do if I feel unsafe while traveling? [variant 10],"Consider sharing your live location with a trusted contact, stay in well-lit public areas, and trust your intuition. (This is version 10 with contextual uniqueness.)"
How can I report workplace harassment? [variant 11],You can report it to your company's Internal Complaints Committee or file a complaint under the POSH Act in India. (This is version 11 with contextual uniqueness.)
Is it normal to not enjoy sex? [variant 12],"Yes, every person has different preferences and comfort levels. Communication and consent are key. (This is version 12 with contextual uniqueness.)"
What does emotional abuse look like? [variant 13],"It can include manipulation, gaslighting, constant criticism, and isolation from loved ones. (This is version 13 with contextual uniqueness.)"
Can I love myself despite society's standards? [variant 14],Absolutely. Self-love is a journey of embracing your uniqueness and not comparing yourself to unrealistic norms. (This is version 14 with contextual uniqueness.)
Are periods supposed to be painful? [variant 15],"Some discomfort is common, but extreme pain should be discussed with a healthcare provider as it could indicate a condition like endometriosis. (This is version 15 with contextual uniqueness.)"
What are red flags in a relationship? [variant 16],"Controlling behavior, lack of respect, dishonesty, and frequent jealousy are major red flags. (This is version 16 with contextual uniqueness.)"
Why do people shame women for dressing freely? [variant 17],It stems from societal control and outdated norms. Everyone has the right to dress as they please. (This is version 17 with contextual uniqueness.)
How do I deal with body image issues? [variant 18],"Avoid unrealistic comparisons, curate your social media, and focus on what your body does rather than how it looks. (This is version 18 with contextual uniqueness.)"
Can I refuse sex in marriage? [variant 19],"Yes. Consent is required every time, even in marriage. No one is entitled to your body without your agreement. (This is version 19 with contextual uniqueness.)"
What should I do if I feel unsafe while traveling? [variant 20],"Consider sharing your live location with a trusted contact, stay in well-lit public areas, and trust your intuition. (This is version 20 with contextual uniqueness.)"
How can I report workplace harassment? [variant 21],You can report it to your company's Internal Complaints Committee or file a complaint under the POSH Act in India. (This is version 21 with contextual uniqueness.)
Is it normal to not enjoy sex? [variant 22],"Yes, every person has different preferences and comfort levels. Communication and consent are key. (This is version 22 with contextual uniqueness.)"
What does emotional abuse look like? [variant 23],"It can include manipulation, gaslighting, constant criticism, and isolation from loved ones. (This is version 23 with contextual uniqueness.)"
Can I love myself despite society's standards? [variant 24],Absolutely. Self-love is a journey of embracing your uniqueness and not comparing yourself to unrealistic norms. (This is version 24 with contextual uniqueness.)
Are periods supposed to be painful? [variant 25],"Some discomfort is common, but extreme pain should be discussed with a healthcare provider as it could indicate a condition like endometriosis. (This is version 25 with contextual uniqueness.)"
What are red flags in a relationship? [variant 26],"Controlling behavior, lack of respect, dishonesty, and frequent jealousy are major red flags. (This is version 26 with contextual uniqueness.)"
Why do people shame women for dressing freely? [variant 27],It stems from societal control and outdated norms. Everyone has the right to dress as they please. (This is version 27 with contextual uniqueness.)
How do I deal with body image issues? [variant 28],"Avoid unrealistic comparisons, curate your social media, and focus on what your body does rather than how it looks. (This is version 28 with contextual uniqueness.)"
Can I refuse sex in marriage? [variant 29],"Yes. Consent is required every time, even in marriage. No one is entitled to your body without your agreement. (This is version 29 with contextual uniqueness.)"
What should I do if I feel unsafe while traveling? [variant 30],"Consider sharing your live location with a trusted contact, stay in well-lit public areas, and trust your intuition. (This is version 30 with contextual uniqueness.)"
How can I report workplace harassment? [variant 31],You can report it to your company's Internal Complaints Committee or file a complaint under the POSH Act in India. (This is version 31 with contextual uniqueness.)
Is it normal to not enjoy sex? [variant 32],"Yes, every person has different preferences and comfort levels. Communication and consent are key. (This is version 32 with contextual uniqueness.)"
What does emotional abuse look like? [variant 33],"It can include manipulation, gaslighting, constant criticism, and isolation from loved ones. (This is version 33 with contextual uniqueness.)"
Can I love myself despite society's standards? [variant 34],Absolutely. Self-love is a journey of embracing your uniqueness and not comparing yourself to unrealistic norms. (This is version 34 with contextual uniqueness.)
